"","Isolate_Id","PB2.Segment_Id","PB1.Segment_Id","PA.Segment_Id","HA.Segment_Id","NP.Segment_Id","NA.Segment_Id","MP.Segment_Id","NS.Segment_Id","HE.Segment_Id","P3.Segment_Id","Isolate_Name","Subtype","Lineage","Passage_History","Location","Host","Isolate_Submitter","Submitting_Lab","Submitting_Sample_Id","Authors","Publication","Originating_Lab","Originating_Sample_Id","Collection_Date","Note","Update_Date","Submission_Date","Antigen_Character","Animal_Vaccin_Product","Adamantanes_Resistance_geno","Oseltamivir_Resistance_geno","Zanamivir_Resistance_geno","Peramivir_Resistance_geno","Other_Resistance_geno","Adamantanes_Resistance_pheno","Oseltamivir_Resistance_pheno","Zanamivir_Resistance_pheno","Peramivir_Resistance_pheno","Other_Resistance_pheno","Host_Age","Host_Age_Unit","Host_Gender","Patient_Status","Zip_Code","Outbreak","Pathogen_Test_Info","Is_Vaccinated","Human_Specimen_Source","Animal_Specimen_Source","Animal_Health_Status","Domestic_Status","PMID","PB2.INSDC_Upload","PB1.INSDC_Upload","PA.INSDC_Upload","HA.INSDC_Upload","NP.INSDC_Upload","NA.INSDC_Upload","MP.INSDC_Upload","NS.INSDC_Upload","HE.INSDC_Upload","P3.INSDC_Upload","newloc","classloc"
"2336","EPI_ISL_3893","EPI21360 | A/duck/Guangdong/12/2000","EPI21318 | A/duck/Guangdong/12/2000","EPI21276 | A/duck/Guangdong/12/2000","EPI21062 | A/duck/Guangdong/12/2000","EPI21192 | A/duck/Guangdong/12/2000","EPI21150 | A/duck/Guangdong/12/2000","EPI21108 | A/duck/Guangdong/12/2000","EPI21234 | A/duck/Guangdong/12/2000",NA,NA,"A/duck/Guangdong/12/2000","A / H5N1",NA,"","Asia / China / Guangdong Province","Duck","Unknown user","Other Database Import","","","","","12",2000,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585510","AY585489","AY585468","AY585361","AY585426","AY585405","AY585384","AY585447",NA,NA,"Guangdong","PRD"
"2337","EPI_ISL_3891","EPI21354 | A/duck/Fujian/19/2000","EPI21312 | A/duck/Fujian/19/2000","EPI21270 | A/duck/Fujian/19/2000","EPI21058 | A/duck/Fujian/19/2000","EPI21186 | A/duck/Fujian/19/2000","EPI21144 | A/duck/Fujian/19/2000","EPI21102 | A/duck/Fujian/19/2000","EPI21228 | A/duck/Fujian/19/2000",NA,NA,"A/duck/Fujian/19/2000","A / H5N1",NA,"","Asia / China / Fujian Province","Duck","Unknown user","Other Database Import","","","","","19",2000,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585507","AY585486","AY585465","AY585359","AY585423","AY585402","AY585381","AY585444",NA,NA,"Fujian","PRD"
"2379","EPI_ISL_29179","EPI174662 | A/duck/Henan/1652/2006","EPI174678 | A/duck/Henan/1652/2006","EPI174694 | A/duck/Henan/1652/2006","EPI174646 | A/duck/Henan/1652/2006","EPI174710 | A/duck/Henan/1652/2006","EPI174726 | A/duck/Henan/1652/2006","EPI174614 | A/duck/Henan/1652/2006","EPI174630 | A/duck/Henan/1652/2006",NA,NA,"A/duck/Henan/1652/2006","A / H5N1",NA,"","Asia / China / Henan Province","Anas sp.","Unknown user","Other Database Import","","","","","1652",2006.995,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784830","FJ784814","FJ784798","FJ784846","FJ784782","FJ784766","FJ784878","FJ784862",NA,NA,"Henan","CT"
"2380","EPI_ISL_29177","EPI174660 | A/duck/Henan/1647/2006","EPI174676 | A/duck/Henan/1647/2006","EPI174692 | A/duck/Henan/1647/2006","EPI174644 | A/duck/Henan/1647/2006","EPI174708 | A/duck/Henan/1647/2006","EPI174724 | A/duck/Henan/1647/2006","EPI174612 | A/duck/Henan/1647/2006","EPI174628 | A/duck/Henan/1647/2006",NA,NA,"A/duck/Henan/1647/2006","A / H5N1",NA,"","Asia / China / Henan Province","Anas sp.","Unknown user","Other Database Import","","","","","1647",2006.995,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784828","FJ784812","FJ784796","FJ784844","FJ784780","FJ784764","FJ784876","FJ784860",NA,NA,"Henan","CT"
"2408","EPI_ISL_78021","EPI276035 | A/goose/Guangdong/72/2004","EPI276036 | A/goose/Guangdong/72/2004","EPI276037 | A/goose/Guangdong/72/2004","EPI276038 | A/goose/Guangdong/72/2004","EPI276039 | A/goose/Guangdong/72/2004","EPI276040 | A/goose/Guangdong/72/2004","EPI276041 | A/goose/Guangdong/72/2004","EPI276042 | A/goose/Guangdong/72/2004",NA,NA,"A/goose/Guangdong/72/2004","A / H5N1",NA,"","Asia / China / Guangdong Province","Goose","Initial import","Other Database Import","","Li,Y.; Shi,J.; Zhong,G.; Deng,G.; Tian,G.; Ge,J.; Zeng,X.; Song,J.; Zhao,D.; Liu,L.; Jiang,Y.; Guan,Y.; Bu,Z.; Chen,H.","","","",2004,"",2010.607,2010.325,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"HM172429","HM172377","HM172354","HM172089","HM172220","HM172181","HM172156","HM172280",NA,NA,"Guangdong","PRD"
"2409","EPI_ISL_77979","EPI275699 | A/bar-headed goose/Qinghai/3/2005","EPI275700 | A/bar-headed goose/Qinghai/3/2005","EPI275701 | A/bar-headed goose/Qinghai/3/2005","EPI275702 | A/bar-headed goose/Qinghai/3/2005","EPI275703 | A/bar-headed goose/Qinghai/3/2005","EPI275704 | A/bar-headed goose/Qinghai/3/2005","EPI275705 | A/bar-headed goose/Qinghai/3/2005","EPI275706 | A/bar-headed goose/Qinghai/3/2005",NA,NA,"A/bar-headed goose/Qinghai/3/2005","A / H5N1",NA,"","Asia / China / Qinghai Province","Goose","Initial import","Other Database Import","","Li,Y.; Shi,J.; Zhong,G.; Deng,G.; Tian,G.; Ge,J.; Zeng,X.; Song,J.; Zhao,D.; Liu,L.; Jiang,Y.; Guan,Y.; Bu,Z.; Chen,H.","","","",2005,"",2010.607,2010.325,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"HM172481","HM172477","HM172474","HM172454","HM172465","HM172462","HM172457","HM172470",NA,NA,"Qinghai","NW"
"2413","EPI_ISL_24622","EPI164370 | A/goose/Yunnan/6193/2006","EPI164371 | A/goose/Yunnan/6193/2006","EPI164372 | A/goose/Yunnan/6193/2006","EPI164373 | A/goose/Yunnan/6193/2006","EPI164374 | A/goose/Yunnan/6193/2006","EPI164375 | A/goose/Yunnan/6193/2006","EPI164376 | A/goose/Yunnan/6193/2006","EPI164377 | A/goose/Yunnan/6193/2006",NA,NA,"A/goose/Yunnan/6193/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Goose","Unknown user","Other Database Import","","","","","6193",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030974","CY030975","CY030976","CY030977","CY030978","CY030979","CY030980","CY030981",NA,NA,"Yunnan","SW"
"2418","EPI_ISL_27759","","","","EPI171552 | A/bar-headed_goose/Qinghai/1/2007","","EPI171565 | A/bar-headed_goose/Qinghai/1/2007","","",NA,NA,"A/bar-headed goose/Qinghai/1/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","1",2007.353,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602866","","FJ602840","","",NA,NA,"Qinghai","NW"
"2419","EPI_ISL_27758","","","","EPI171551 | A/bar-headed_goose/Qinghai/13/2008","","EPI171590 | A/bar-headed_goose/Qinghai/13/2008","","",NA,NA,"A/bar-headed goose/Qinghai/13/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","13",2008.604,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602828","","FJ602865","","",NA,NA,"Qinghai","NW"
"2420","EPI_ISL_27751","","","","EPI171544 | A/bar-headed_goose/Qinghai/6/2008","","EPI171583 | A/bar-headed_goose/Qinghai/6/2008","","",NA,NA,"A/bar-headed goose/Qinghai/6/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","6",2008.456,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602821","","FJ602858","","",NA,NA,"Qinghai","NW"
"2421","EPI_ISL_27745","","","","EPI171538 | A/bar-headed_goose/Qinghai/13/2007","","EPI171577 | A/bar-headed_goose/Qinghai/13/2007","","",NA,NA,"A/bar-headed goose/Qinghai/13/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","13",2007.723,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602815","","FJ602852","","",NA,NA,"Qinghai","NW"
"2422","EPI_ISL_27732","","","","EPI171525 | A/bar-headed_goose/Qinghai/9/2006","","EPI171562 | A/bar-headed_goose/Qinghai/9/2006","","",NA,NA,"A/bar-headed goose/Qinghai/9/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","9",2006.542,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602802","","FJ602837","","",NA,NA,"Qinghai","NW"
"2423","EPI_ISL_27731","","","","EPI171524 | A/bar-headed_goose/Qinghai/8/2006","","EPI171561 | A/bar-headed_goose/Qinghai/8/2006","","",NA,NA,"A/bar-headed goose/Qinghai/8/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","8",2006.542,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602801","","FJ602836","","",NA,NA,"Qinghai","NW"
"2424","EPI_ISL_27725","","","","EPI171518 | A/bar-headed_goose/Qinghai/2/2006","","EPI171592 | A/bar-headed_goose/Qinghai/2/2006","","",NA,NA,"A/bar-headed goose/Qinghai/2/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","2",2006.43,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602795","","FJ602830","","",NA,NA,"Qinghai","NW"
"2471","EPI_ISL_4538","EPI106117 | A/blackbird/Hunan/1/2004","EPI106093 | A/blackbird/Hunan/1/2004","EPI106087 | A/blackbird/Hunan/1/2004","EPI25072 | A/blackbird/Hunan/1/2004","EPI106065 | A/blackbird/Hunan/1/2004","EPI25074 | A/blackbird/Hunan/1/2004","EPI106051 | A/blackbird/Hunan/1/2004","EPI106129 | A/blackbird/Hunan/1/2004",NA,NA,"A/blackbird/Hunan/1/2004","A / H5N1",NA,"","Asia / China / Hunan Province","Other avian","Unknown user","Other Database Import","","","","","1",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"DQ835805","DQ835793","DQ835790","AY741213","DQ835779","AY741214","DQ835774","DQ835811",NA,NA,"Hunan","CT"
"2483","EPI_ISL_4580","EPI25237 | A/swine/Fujian/F1/2001","EPI25235 | A/swine/Fujian/F1/2001","EPI25233 | A/swine/Fujian/F1/2001","EPI25223 | A/swine/Fujian/F1/2001","EPI25227 | A/swine/Fujian/F1/2001","EPI25225 | A/swine/Fujian/F1/2001","EPI25229 | A/swine/Fujian/F1/2001","EPI25231 | A/swine/Fujian/F1/2001",NA,NA,"A/swine/Fujian/F1/2001","A / H5N1",NA,"","Asia / China / Fujian Province","Swine","Unknown user","Other Database Import","","","","","F1",2001,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY747624","AY747623","AY747622","AY747617","AY747619","AY747618","AY747620","AY747621",NA,NA,"Fujian","PRD"
"2485","EPI_ISL_219769","EPI749406 | A/Environment/Chongqing/99165/2014-PB2","EPI749407 | A/Environment/Chongqing/99165/2014-PB1","EPI749405 | A/Environment/Chongqing/99165/2014-PA","EPI749409 | A/Environment/Chongqing/99165/2014-HA","EPI749402 | A/Environment/Chongqing/99165/2014-NP","EPI749408 | A/Environment/Chongqing/99165/2014-NA","EPI749404 | A/Environment/Chongqing/99165/2014-MP","EPI749403 | A/Environment/Chongqing/99165/2014-NS",NA,NA,"A/Environment/Chongqing/99165/2014","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.8,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"2487","EPI_ISL_219766","EPI749382 | A/Environment/Jiangsu/33457/2015-PB2","EPI749383 | A/Environment/Jiangsu/33457/2015-PB1","EPI749381 | A/Environment/Jiangsu/33457/2015-PA","EPI749385 | A/Environment/Jiangsu/33457/2015-HA","EPI749378 | A/Environment/Jiangsu/33457/2015-NP","EPI749384 | A/Environment/Jiangsu/33457/2015-NA","EPI749380 | A/Environment/Jiangsu/33457/2015-MP","EPI749379 | A/Environment/Jiangsu/33457/2015-NS",NA,NA,"A/Environment/Jiangsu/33457/2015","A / H5N1",NA,"E1","Asia / China / Jiangsu","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.137,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Jiangsu","YRD"
"2488","EPI_ISL_219763","EPI749358 | A/environment/Guangdong/02811/2012-PB2","EPI749359 | A/environment/Guangdong/02811/2012-PB1","EPI749357 | A/environment/Guangdong/02811/2012-PA","EPI749361 | A/environment/Guangdong/02811/2012-HA","EPI749354 | A/environment/Guangdong/02811/2012-NP","EPI749360 | A/environment/Guangdong/02811/2012-NA","EPI749356 | A/environment/Guangdong/02811/2012-MP","EPI749355 | A/environment/Guangdong/02811/2012-NS",NA,NA,"A/environment/Guangdong/02811/2012","A / H5N1",NA,"E2","Asia / China / Guangdong","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2012.53,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Guangdong","PRD"
"2489","EPI_ISL_219760","EPI749334 | A/Environment/Hunan/28147/2014-PB2","EPI749335 | A/Environment/Hunan/28147/2014-PB1","EPI749333 | A/Environment/Hunan/28147/2014-PA","EPI749337 | A/Environment/Hunan/28147/2014-HA","EPI749330 | A/Environment/Hunan/28147/2014-NP","EPI749336 | A/Environment/Hunan/28147/2014-NA","EPI749332 | A/Environment/Hunan/28147/2014-MP","EPI749331 | A/Environment/Hunan/28147/2014-NS",NA,NA,"A/Environment/Hunan/28147/2014","A / H5N1",NA,"E1","Asia / China / Hunan","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.323,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hunan","CT"
"2490","EPI_ISL_219757","EPI749310 | A/Environment/Guangxi/14313/2013-PB2","EPI749311 | A/Environment/Guangxi/14313/2013-PB1","EPI749309 | A/Environment/Guangxi/14313/2013-PA","EPI749313 | A/Environment/Guangxi/14313/2013-HA","EPI749306 | A/Environment/Guangxi/14313/2013-NP","EPI749312 | A/Environment/Guangxi/14313/2013-NA","EPI749308 | A/Environment/Guangxi/14313/2013-MP","EPI749307 | A/Environment/Guangxi/14313/2013-NS",NA,NA,"A/Environment/Guangxi/14313/2013","A / H5N1",NA,"E1","Asia / China / Guangxi","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2013.923,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Guangxi","SW"
"2491","EPI_ISL_219755","EPI749294 | A/Environment/Chongqing/45110/2015-PB2","EPI749295 | A/Environment/Chongqing/45110/2015-PB1","EPI749293 | A/Environment/Chongqing/45110/2015-PA","EPI749297 | A/Environment/Chongqing/45110/2015-HA","EPI749290 | A/Environment/Chongqing/45110/2015-NP","EPI749296 | A/Environment/Chongqing/45110/2015-NA","EPI749292 | A/Environment/Chongqing/45110/2015-MP","EPI749291 | A/Environment/Chongqing/45110/2015-NS",NA,NA,"A/Environment/Chongqing/45110/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.038,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"2492","EPI_ISL_219750","EPI749254 | A/Environment/Chongqing/45174/2015-PB2","EPI749255 | A/Environment/Chongqing/45174/2015-PB1","EPI749253 | A/Environment/Chongqing/45174/2015-PA","EPI749257 | A/Environment/Chongqing/45174/2015-HA","EPI749250 | A/Environment/Chongqing/45174/2015-NP","EPI749256 | A/Environment/Chongqing/45174/2015-NA","EPI749252 | A/Environment/Chongqing/45174/2015-MP","EPI749251 | A/Environment/Chongqing/45174/2015-NS",NA,NA,"A/Environment/Chongqing/45174/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.118,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"2493","EPI_ISL_219747","EPI749230 | A/Environment/Chongqing/45170/2015-PB2","EPI749231 | A/Environment/Chongqing/45170/2015-PB1","EPI749229 | A/Environment/Chongqing/45170/2015-PA","EPI749233 | A/Environment/Chongqing/45170/2015-HA","EPI749226 | A/Environment/Chongqing/45170/2015-NP","EPI749232 | A/Environment/Chongqing/45170/2015-NA","EPI749228 | A/Environment/Chongqing/45170/2015-MP","EPI749227 | A/Environment/Chongqing/45170/2015-NS",NA,NA,"A/Environment/Chongqing/45170/2015","A / H5N1",NA,"E1","Asia / China / Chongqing","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2015.115,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Chongqing","SW"
"2504","EPI_ISL_79691","EPI280205 | A/water/Hebei/3/2009.1","EPI280206 | A/water/Hebei/3/2009.2","EPI280204 | A/water/Hebei/3/2009.3","EPI280208 | A/water/Hebei/3/2009.4","EPI280201 | A/water/Hebei/3/2009.5","EPI280207 | A/water/Hebei/3/2009.6","EPI280203 | A/water/Hebei/3/2009.7","EPI280202 | A/water/Hebei/3/2009.8",NA,NA,"A/water/Hebei/3/2009","A / H5N1",NA,"E2","Asia / China / Hubei","Environment","Yu Lan (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Lan,Yu,Dong,Libo,Li,Zi,Li,Xiyan,Zhao,Xiang,Cheng,Yanhui,Tan,minju,Yang,Lei,Zou,Shumei,Wen,Leying,Wang,Dayan,Li,Dexin,Shu,Yuelong","","WHO Chinese National Influenza Center","",2009.014,"",2010.731,2010.731,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hubei","CT"
"2507","EPI_ISL_25899","EPI168443 | A/environment/Qinghai/1/2008","EPI168442 | A/environment/Qinghai/1/2008","EPI168441 | A/environment/Qinghai/1/2008","EPI168436 | A/environment/Qinghai/1/2008","EPI168439 | A/environment/Qinghai/1/2008","EPI168438 | A/environment/Qinghai/1/2008","EPI168437 | A/environment/Qinghai/1/2008","EPI168440 | A/environment/Qinghai/1/2008",NA,NA,"A/environment/Qinghai/1/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Environment","Unknown user","Other Database Import","","","","","1",2008.445,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ455827","FJ455826","FJ455825","FJ455820","FJ455823","FJ455822","FJ455821","FJ455824",NA,NA,"Qinghai","NW"
"2510","EPI_ISL_180754","EPI594516 | A/environment/Hubei/950/2013","EPI594517 | A/environment/Hubei/950/2013","EPI594518 | A/environment/Hubei/950/2013","EPI594523 | A/environment/Hubei/950/2013","EPI594520 | A/environment/Hubei/950/2013","EPI594521 | A/environment/Hubei/950/2013","EPI594522 | A/environment/Hubei/950/2013","EPI594519 | A/environment/Hubei/950/2013",NA,NA,"A/environment/Hubei/950/2013","A / H5N1",NA,"E2","Asia / China / Hebei Province","Water sample","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Li, Xiaodan; Gao, Rongbao; Bo, Hong; Zhang, Ye; Wang, Dayan; Shu, Yuelong","","Xiangfan Center for Disease Control and Prevention","",2013.153,"",2015.406,2015.406,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hebei","BER"
"2558","EPI_ISL_79686","EPI280165 | A/Hunan/1/2009.1","EPI280166 | A/Hunan/1/2009.2","EPI280164 | A/Hunan/1/2009.3","EPI280168 | A/Hunan/1/2009.4","EPI280161 | A/Hunan/1/2009.5","EPI280167 | A/Hunan/1/2009.6","EPI280163 | A/Hunan/1/2009.7","EPI280162 | A/Hunan/1/2009.8",NA,NA,"A/Hunan/1/2009","A / H5N1",NA,"E3","Asia / China / Hunan","Human","Yu Lan (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Lan,Yu,Dong,Libo,Li,Zi,Li,Xiyan,Zhao,Xiang,Cheng,Yanhui,Tan,minju,Yang,Lei,Zou,Shumei,Wen,Leying,Wang,Dayan,Li,Dexin,Shu,Yuelong","","WHO Chinese National Influenza Center","",2009.019,"",2010.731,2010.731,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",16,"Y","Male","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hunan","CT"
"2559","EPI_ISL_79684","EPI280149 | A/Jiangsu/2/2007.1","EPI280150 | A/Jiangsu/2/2007.2","EPI280148 | A/Jiangsu/2/2007.3","EPI280152 | A/Jiangsu/2/2007.4","EPI280145 | A/Jiangsu/2/2007.5","EPI280151 | A/Jiangsu/2/2007.6","EPI280147 | A/Jiangsu/2/2007.7","EPI280146 | A/Jiangsu/2/2007.8",NA,NA,"A/Jiangsu/2/2007","A / H5N1",NA,"E3","Asia / China / Jiangsu","Human","Yu Lan (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Lan,Yu,Dong,Libo,Li,Zi,Li,Xiyan,Zhao,Xiang,Cheng,Yanhui,Tan,minju,Yang,Lei,Zou,Shumei,Wen,Leying,Wang,Dayan,Li,Dexin,Shu,Yuelong","","WHO Chinese National Influenza Center","",2007.921,"",2010.731,2010.731,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",52,"Y","Male","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Jiangsu","YRD"
